Institut;Auftraggeber;Befragungsart;Befragte;Zeitraum;Datum;CSU;SPD;GRÜNE;FDP;LINKE;FW;AfD;Sonstige;ang. Fehler
civey;Medienpartner;online;5061;19.09.18-23.09.18;24.09.2018;36;12;17,9;5;3,3;8,6;13,2;4;2,5
civey;Medienpartner;online;5046;30.08.18-09.09.18;09.09.2018;35,8;12,1;16,5;5,8;2,7;8,1;13,7;5,3;2,5
civey;Medienpartner;online;5049;16.08.18-26.08.18;26.08.2018;37,8;11,8;15,1;6,1;2,5;8,1;13,5;5,1;2,5
civey;Medienpartner;online;5047;31.07.18-13.08.18;13.08.2018;38,1;12,3;15;5,3;2,7;7,3;15,2;4,1;2,5
civey;Medienpartner;online;5093;24.06.18-05.07.18;05.07.2018;42,5;13,7;13,2;5,2;2,8;6;13,1;3,5;2,5
civey;Medienpartner;online;5066;20.05.18-07.06.18;07.06.2018;41,1;13,4;12,6;4,8;3,5;7;13,5;4,1;2,5
civey;Medienpartner;online;5082;24.4.18-12.05.18;12.05.2018;42,1;13,7;13,5;5,1;2,9;6,6;12;4,1;2,5
civey;Medienpartner;online;5048;19.03.18-05.04.18;05.04.2018;44,5;14,8;11,3;4,2;2,8;6,5;11,9;4;2,5
civey;Medienpartner;;5040;12.01.18-26.02.18;26.02.2018;39,4;13,4;12,2;5,3;3,5;8,6;12,3;5,3;2,5
civey;;;;;16.03.2018;41,3;14,2;12;4,6;3;8,4;12,1;4,3;2,5
civey;;;;;16.01.2018;39,9;14,8;11,4;5,8;3,4;7,6;13,1;4;
